image_id,url,priority,title,comment,locality_id
59,"/travel/jodhpur/7.jpeg",0,"Blue City",null,9
60,"/travel/jodhpur/8.jpeg",0,"Toorji Ka Jhalra Bavdi",null,9
61,"/travel/kochi/1.jpeg",0,"Jew Town",null,10
62,"/travel/kochi/2.jpeg",0,"Evening Fishing",null,10
63,"/travel/kochi/3.jpeg",0,"Industrial Fishing",null,10
64,"/travel/kochi/4.jpeg",0,"Kochi Street Art",null,10
65,"/travel/kochi/5.jpeg",0,null,null,10
66,"/travel/kochi/6.jpeg",0,null,null,10
67,"/travel/morjim/1.jpeg",0,null,null,11
68,"/travel/morjim/2.jpeg",0,null,null,11
69,"/travel/morjim/3.jpeg",0,"Morjim Beach",null,11
70,"/travel/morjim/4.jpeg",0,"Morjim Beach",null,11
71,"/travel/morjim/5.jpeg",0,"Morjim Beach",null,11
72,"/travel/morjim/6.jpeg",0,"Morjim Beach",null,11
73,"/travel/morjim/7.jpeg",0,null,null,11
74,"/travel/munnar/1.jpeg",0,"Kalrippayattu (Traditional Marial Art of Kerala)",null,12
75,"/travel/munnar/2.jpeg",0,"Kalrippayattu (Traditional Marial Art of Kerala)",null,12
76,"/travel/munnar/3.jpeg",0,"Kalrippayattu (Traditional Marial Art of Kerala)",null,12
77,"/travel/munnar/4.jpeg",0,"Kalrippayattu (Traditional Marial Art of Kerala)",null,12
78,"/travel/munnar/5.jpeg",0,"Eravikulam National Park",null,12
79,"/travel/munnar/6.jpeg",0,"Munnar Tea Plantations",null,12
80,"/travel/munnar/7.jpeg",0,null,null,12
81,"/travel/munnar/8.jpeg",0,"Munnar Tea Plantations",null,12
82,"/travel/periyar-national-park/1.jpeg",0,null,null,13
83,"/travel/periyar-national-park/2.jpeg",0,null,null,13
84,"/travel/periyar-national-park/3.jpeg",0,null,null,13
85,"/travel/periyar-national-park/4.jpeg",0,null,null,13
86,"/travel/periyar-national-park/5.jpeg",0,null,null,13
87,"/travel/pushkar/1.jpeg",0,"Street-Level View Of The Savitri Mata Temple",null,14
88,"/travel/pushkar/2.jpeg",0,"The Start Of The 1000 Step Climb",null,14
89,"/travel/pushkar/3.jpeg",0,"The View From The Savitri Mata Temple",null,14
90,"/travel/pushkar/4.jpeg",0,"Pushkar Lake",null,14
91,"/travel/pushkar/5.jpeg",0,"Pushkar Lake",null,14
92,"/travel/taipei/1.jpg",0,"Yinhe Cave","We found this temple, hidden behind a small waterfall, out of sheer luck whilst following a hiking trail.",15
93,"/travel/taipei/2.jpg",0,"Zhinan Temple",null,15
94,"/travel/taipei/3.jpg",0,"Zhinan Temple",null,15
95,"/travel/taipei/4.jpg",0,"Zhinan Temple","Placed up in the hills surrounding Taipei, with the fog blowing over, this temple really looked mystical and mysterious.",15
96,"/travel/taipei/5.jpg",0,"Shilin Night Market",null,15
97,"/travel/taipei/6.jpg",0,"Lungshan Temple",null,15
98,"/travel/taipei/7.jpg",0,"National Chiang Kai-shek Memorial Hall",null,15
99,"/travel/taipei/8.jpg",0,"Taipei Skyline From Elephant Mountain",null,15
100,"/travel/thulusdhoo/1.jpeg",0,null,null,16
101,"/travel/thulusdhoo/2.jpeg",0,null,null,16
102,"/travel/thulusdhoo/3.jpeg",0,null,null,16
103,"/travel/thulusdhoo/4.jpeg",0,null,null,16
104,"/travel/thulusdhoo/5.jpeg",0,null,null,16
105,"/travel/thulusdhoo/6.jpeg",0,null,null,16
106,"/travel/thulusdhoo/7.jpeg",0,null,null,16
107,"/travel/thulusdhoo/8.jpeg",0,null,null,16
108,"/travel/thulusdhoo/9.jpeg",0,"Thulusdhoo Fishing Pier",null,16
109,"/travel/udaipur/1.jpeg",0,"Dharohar Folk Dance",null,17
110,"/travel/udaipur/2.jpeg",0,"Dharohar Folk Dance",null,17
111,"/travel/udaipur/3.jpeg",0,"Dharohar Folk Dance",null,17
112,"/travel/udaipur/4.jpeg",0,null,null,17
113,"/travel/udaipur/5.jpeg",0,"Udaipur City Palace",null,17
114,"/travel/udaipur/6.jpeg",0,"Udaipur City Palace",null,17
115,"/travel/udaipur/7.jpeg",0,"Udaipur City Palace",null,17
116,"/travel/taroko-national-park/1.jpg",0,null,null,6
117,"/travel/taroko-national-park/2.jpg",0,null,null,6
118,"/travel/taroko-national-park/3.jpg",0,null,null,6
119,"/travel/taroko-national-park/4.jpg",0,null,null,6
120,"/travel/taroko-national-park/5.jpg",0,null,null,6
121,"/travel/taroko-national-park/6.jpg",0,null,null,6
122,"/travel/taroko-national-park/7.jpg",0,null,null,6
123,"/travel/taroko-national-park/8.jpg",0,null,null,6
124,"/travel/dulan/1.jpg",0,null,null,18
125,"/travel/dulan/2.jpg",0,null,null,18
126,"/travel/dulan/3.jpg",0,null,null,18
127,"/travel/dulan/4.jpg",0,null,null,18
128,"/travel/dulan/5.jpg",0,null,null,18
129,"/travel/kaohsiung/1.jpg",0,null,null,19
130,"/travel/kaohsiung/2.jpg",0,null,null,19
131,"/travel/kaohsiung/3.jpg",0,null,null,19
132,"/travel/kaohsiung/4.jpg",0,null,null,19
133,"/travel/kaohsiung/5.jpg",0,null,null,19
134,"/travel/kaohsiung/6.jpg",0,null,null,19
135,"/travel/kaohsiung/7.jpg",0,null,null,19
136,"/travel/kaohsiung/8.jpg",0,null,null,19
137,"/travel/kaohsiung/9.jpg",0,null,null,19
138,"/travel/kaohsiung/10.jpg",0,null,null,19
139,"/travel/tainan/1.jpg",0,null,null,20
140,"/travel/tainan/2.jpg",0,null,null,20
141,"/travel/tainan/3.jpg",0,null,null,20
142,"/travel/tainan/4.jpg",0,null,null,20
143,"/travel/tainan/5.jpg",0,null,null,20
144,"/travel/tainan/6.jpg",0,null,null,20
145,"/travel/tainan/7.jpg",0,null,null,20
146,"/travel/taichung/1.jpg",0,null,null,21
147,"/travel/taichung/2.jpg",0,null,null,21
148,"/travel/taichung/3.jpg",0,null,null,21
149,"/travel/taichung/4.jpg",0,null,null,21
150,"/travel/taichung/5.jpg",0,null,null,21
151,"/travel/taichung/6.jpg",0,null,null,21
152,"/travel/taichung/7.jpg",0,null,null,21
153,"/travel/taichung/8.jpg",0,null,null,21
154,"/travel/taichung/9.jpg",0,null,null,21
155,"/travel/malapascua/1.jpg",0,null,null,22
156,"/travel/malapascua/2.jpg",0,null,null,22
157,"/travel/malapascua/3.jpg",0,null,null,22
158,"/travel/malapascua/4.jpg",0,null,null,22
159,"/travel/malapascua/5.jpg",0,null,null,22
160,"/travel/malapascua/6.jpg",0,null,null,22
161,"/travel/cebu/1.jpg",0,"Freediving in the sardine run",null,23
161,"/travel/cebu/2.jpg",0,"Freediving in the sardine run",null,23
161,"/travel/cebu/3.jpg",0,"Osmeña peak",null,23
161,"/travel/cebu/4.jpg",0,null,null,23
161,"/travel/cebu/5.jpg",0,null,null,23
161,"/travel/cebu/6.jpg",0,null,null,23
161,"/travel/cebu/7.jpg",0,null,null,23
161,"/travel/cebu/8.jpg",0,null,null,23
